Kecamatan,,Jumlah Penduduk,Jumlah Rumah Tangga,Rata-rata Anggota Rumah Tangga
010,Kelay,4 979,1 432,"3,48"
020,Talisayan,11 739,3 383,"3,47"
021,Tabalar,5 615,1 422,"3,95"
030,Biduk Biduk,5 631,1 415,"3,98"
040,Pulau Derawan,9 947,2 490,"3,99"
041,Maratua,3 402,661,"5,15"
050,Sambaliung,27 605,7 318,"3,77"
060,Tanjung Redeb,75 110,29 748,"2,52"
070,Gunung Tabur,17 307,4 345,"3,98"
080,Segah,10 053,2 735,"3,68"
090,Teluk Bayur,24 920,7 677,"3,25"
100,Batu Putih,7 923,2 334,"3,39"
110,Biatan,5 904,1 688,"3,50"
